web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345498-2113,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,Rasatura tradizionale,https://www.notino.it/rasatura-tradizionale/,,,,
1595345508-2713,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,Viso,https://www.notino.it/prodotti-per-uomo/?f=1-1-23235-23237,,,,
1595345493-1805,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,,,Makeup setting spray,https://www.notino.it/makeup-setting-spray/,,,,,,
1595345490-1576,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Capelli secchi,https://www.notino.it/capelli-secchi/,,,,,,,,,,,,,,
1595345488-1446,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,"<img src=""https://cdn.notinoimg.com/images/gallery/spage/N_P_Solaria_20200422_46.png"" width=""200""  height=""200""  alt=""Cosmetici per solarium""  title=""Cosmetici per solarium""  />Cosmetici per solarium",https://www.notino.it/creme-solari/?f=1-1-2-52434-3645-52433-52436-3646-52440-52442,,,,,,,,,,
1595345490-1585,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Tinte per capelli,https://www.notino.it/tinte-per-capelli/,,,,,,,,,,,,,,
1595345490-1665,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,,,Rasoi e altri accessori,https://www.notino.it/prodotti-per-uomo/?f=1-1-23235-23263,,,,
1595345500-2189,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,Cura del viso,https://www.notino.it/dermocosmesi/?f=1-1-37171-3645,,,,,,,,,,,,
1595345495-1848,https://www.notino.it,Make-up,https://www.notino.it/make-up/,Eau de toilette,https://www.notino.it/eau-de-toilette/,,,,,,,,,,,,,,,,
1595345498-2099,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,Sopracciglia,https://www.notino.it/make-up/?f=1-1-2-3644-41832,,,,,,
1595345505-2459,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,Profumi speziati,https://www.notino.it/profumi-speziati/,,,,,,,,,,,,,,,,
1595345490-1548,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,Accessori,https://www.notino.it/profumi/?f=1-1-1-100226,,,,,,,,,,,,,,,,
1595345488-1390,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,Profumi uomo,https://www.notino.it/profumi-uomo/,,,,,,,,,,,,,,,,
1595345493-1729,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,Capelli danneggiati,https://www.notino.it/capelli-danneggiati/,,,,,,,,,,,,,,
1595345498-2067,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,Pelle secca,https://www.notino.it/cura-della-pelle-secca/,,,,,,,,,,
1595345488-1517,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,,,,,,,,,Diffusori di aromi,https://www.notino.it/diffusore-di-aromi/,,
1595345493-1771,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,Acne,https://www.notino.it/prodotti-per-lacne/,,,,,,,,,,
1595345488-1521,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,,,,,,,,,Aromaterapia,https://www.notino.it/aromaterapia/,,
1595345503-2315,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,Balsamo,https://www.notino.it/balsamo/,,,,,,,,,,,,,,
1595345498-2109,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,Profumi uomo,https://www.notino.it/profumi-uomo/,,,,
1595345503-2304,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,Campioncini,https://www.notino.it/campioncini-di-profumo/,,,,,,,,,,,,,,,,
1595345490-1597,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,Cura del viso,https://www.notino.it/cura-del-viso/,,,,,,,,,,
1595345490-1645,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,Mascara,https://www.notino.it/mascara/,,,,,,
1595345493-1709,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,,,,,,
1595345493-1798,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,,,Labbra,https://www.notino.it/labbra/,,,,,,
1595345503-2373,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,Occhiaie,https://www.notino.it/prodotti-per-le-occhiaie/,,,,,,,,,,
1595345488-1417,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,Pettini e spazzole,https://www.notino.it/pettini-e-spazzole-per-capelli/,,,,,,,,,,,,,,
1595345490-1578,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Capelli colorati,https://www.notino.it/capelli-colorati/,,,,,,,,,,,,,,
1595345490-1577,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Capelli grassi,https://www.notino.it/capelli-grassi/,,,,,,,,,,,,,,
1595345495-1900,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,Pulizia del viso,https://www.notino.it/pulizia-del-viso/,,,,,,,,,,
1595345503-2300,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,Eau de parfum,https://www.notino.it/eau-de-parfum/,,,,,,,,,,,,,,,,
