web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-138,https://www.notino.it/marche-cosmetici/,Cacharel,https://www.notino.it/cacharel/
1595276171-139,https://www.notino.it/marche-cosmetici/,Cadentia,https://www.notino.it/cadentia/
1595276171-140,https://www.notino.it/marche-cosmetici/,Calgon,https://www.notino.it/calgon/
1595276171-141,https://www.notino.it/marche-cosmetici/,Calvin Klein,https://www.notino.it/calvin-klein/
1595276171-142,https://www.notino.it/marche-cosmetici/,Capillan,https://www.notino.it/capillan/
1595276171-143,https://www.notino.it/marche-cosmetici/,Captain Fawcett,https://www.notino.it/captain-fawcett/
1595276171-144,https://www.notino.it/marche-cosmetici/,Carefree,https://www.notino.it/carefree/
1595276171-145,https://www.notino.it/marche-cosmetici/,Carmex,https://www.notino.it/carmex/
1595276171-146,https://www.notino.it/marche-cosmetici/,Carolina Herrera,https://www.notino.it/carolina-herrera/
1595276171-147,https://www.notino.it/marche-cosmetici/,Caron,https://www.notino.it/caron/
1595276171-148,https://www.notino.it/marche-cosmetici/,Cartier,https://www.notino.it/cartier/
1595276171-149,https://www.notino.it/marche-cosmetici/,Catrice,https://www.notino.it/catrice/
1595276171-150,https://www.notino.it/marche-cosmetici/,Caudalie,https://www.notino.it/caudalie/
1595276171-151,https://www.notino.it/marche-cosmetici/,Cece of Sweden,https://www.notino.it/cece-of-sweden/
1595276171-152,https://www.notino.it/marche-cosmetici/,Cera,https://www.notino.it/cera/
1595276171-153,https://www.notino.it/marche-cosmetici/,CeraVe,https://www.notino.it/cerave/
1595276171-154,https://www.notino.it/marche-cosmetici/,Cerruti,https://www.notino.it/cerruti/
1595276171-155,https://www.notino.it/marche-cosmetici/,Cetaphil,https://www.notino.it/cetaphil/
1595276171-156,https://www.notino.it/marche-cosmetici/,Chando,https://www.notino.it/chando/
1595276171-157,https://www.notino.it/marche-cosmetici/,Chanel,https://www.notino.it/chanel/
1595276171-158,https://www.notino.it/marche-cosmetici/,Chanson,https://www.notino.it/chanson/
1595276171-159,https://www.notino.it/marche-cosmetici/,Charcoal,https://www.notino.it/charcoal/
1595276171-160,https://www.notino.it/marche-cosmetici/,CHI,https://www.notino.it/chi/
1595276171-161,https://www.notino.it/marche-cosmetici/,Chiara Ambra,https://www.notino.it/chiara-ambra/
1595276171-162,https://www.notino.it/marche-cosmetici/,Chilly,https://www.notino.it/chilly/
1595276171-163,https://www.notino.it/marche-cosmetici/,Chloé,https://www.notino.it/chloe/
1595276171-164,https://www.notino.it/marche-cosmetici/,Chopard,https://www.notino.it/chopard/
1595276171-165,https://www.notino.it/marche-cosmetici/,Chris Adams,https://www.notino.it/chris-adams/
1595276171-166,https://www.notino.it/marche-cosmetici/,Christian Audigier,https://www.notino.it/christian-audigier/
1595276171-167,https://www.notino.it/marche-cosmetici/,Christian Siriano,https://www.notino.it/christian-siriano/
1595276171-168,https://www.notino.it/marche-cosmetici/,Christina Aguilera,https://www.notino.it/christina-aguilera/
1595276171-169,https://www.notino.it/marche-cosmetici/,Chromwell,https://www.notino.it/chromwell/
1595276171-170,https://www.notino.it/marche-cosmetici/,Cif,https://www.notino.it/cif/
1595276171-171,https://www.notino.it/marche-cosmetici/,Cillit,https://www.notino.it/cillit/
1595276171-172,https://www.notino.it/marche-cosmetici/,Clarins,https://www.notino.it/clarins/
1595276171-173,https://www.notino.it/marche-cosmetici/,Clarisonic,https://www.notino.it/clarisonic/
1595276171-174,https://www.notino.it/marche-cosmetici/,Claudia Schiffer Make Up,https://www.notino.it/claudia-schiffer-make-up/
1595276171-175,https://www.notino.it/marche-cosmetici/,CLEAN,https://www.notino.it/clean/
1595276171-176,https://www.notino.it/marche-cosmetici/,Clean & Clear,https://www.notino.it/clean-clear/
1595276171-177,https://www.notino.it/marche-cosmetici/,Clin,https://www.notino.it/clin/
1595276171-178,https://www.notino.it/marche-cosmetici/,Clinique,https://www.notino.it/clinique/
