web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-429,https://market.erniani.com/it/marche-cosmetici/,Justin Bieber,https://market.erniani.com/it/justin-bieber/
1595276171-428,https://market.erniani.com/it/marche-cosmetici/,Just Jack,https://market.erniani.com/it/just-jack/
1595276171-430,https://market.erniani.com/it/marche-cosmetici/,K2r,https://market.erniani.com/it/k2r/
1595276171-431,https://market.erniani.com/it/marche-cosmetici/,Kallos,https://market.erniani.com/it/kallos/
1595276171-432,https://market.erniani.com/it/marche-cosmetici/,Kaloo,https://market.erniani.com/it/kaloo/
1595276171-433,https://market.erniani.com/it/marche-cosmetici/,Kanebo,https://market.erniani.com/it/kanebo/
1595276171-434,https://market.erniani.com/it/marche-cosmetici/,Karl Lagerfeld,https://market.erniani.com/it/karl-lagerfeld/
1595276171-435,https://market.erniani.com/it/marche-cosmetici/,Katy Perry,https://market.erniani.com/it/katy-perry/
1595276171-436,https://market.erniani.com/it/marche-cosmetici/,Kelsey Berwin,https://market.erniani.com/it/kelsey-berwin/
1595276171-437,https://market.erniani.com/it/marche-cosmetici/,Kenneth Cole,https://market.erniani.com/it/kenneth-cole/
1595276171-438,https://market.erniani.com/it/marche-cosmetici/,Kérastase,https://market.erniani.com/it/kerastase/
1595276171-439,https://market.erniani.com/it/marche-cosmetici/,Kevin Murphy,https://market.erniani.com/it/kevin-murphy/
1595276171-440,https://market.erniani.com/it/marche-cosmetici/,Kim Kardashian,https://market.erniani.com/it/kim-kardashian/
1595276171-441,https://market.erniani.com/it/marche-cosmetici/,Kiton,https://market.erniani.com/it/kiton/
1595276171-442,https://market.erniani.com/it/marche-cosmetici/,Klairs,https://market.erniani.com/it/klairs/
1595276171-443,https://market.erniani.com/it/marche-cosmetici/,Kleenex,https://market.erniani.com/it/kleenex/
1595276171-444,https://market.erniani.com/it/marche-cosmetici/,Klorane,https://market.erniani.com/it/klorane/
1595276171-445,https://market.erniani.com/it/marche-cosmetici/,KMS California,https://market.erniani.com/it/kms-california/
1595276171-446,https://market.erniani.com/it/marche-cosmetici/,Kneipp,https://market.erniani.com/it/kneipp/
1595276171-447,https://market.erniani.com/it/marche-cosmetici/,KOBO,https://market.erniani.com/it/kobo/
1595276171-448,https://market.erniani.com/it/marche-cosmetici/,KOCOSTAR,https://market.erniani.com/it/kocostar/
1595276171-449,https://market.erniani.com/it/marche-cosmetici/,Kolmaz,https://market.erniani.com/it/kolmaz/
1595276171-450,https://market.erniani.com/it/marche-cosmetici/,KORIKA,https://market.erniani.com/it/korika/
1595276171-451,https://market.erniani.com/it/marche-cosmetici/,Korloff,https://market.erniani.com/it/korloff/
1595276171-452,https://market.erniani.com/it/marche-cosmetici/,Korres,https://market.erniani.com/it/korres/
1595276171-453,https://market.erniani.com/it/marche-cosmetici/,Kotex,https://market.erniani.com/it/kotex/
1595276171-454,https://market.erniani.com/it/marche-cosmetici/,Kringle Candle,https://market.erniani.com/it/kringle-candle/
1595276171-455,https://market.erniani.com/it/marche-cosmetici/,Kryolan,https://market.erniani.com/it/kryolan/
1595276171-466,https://market.erniani.com/it/marche-cosmetici/,Labello,https://market.erniani.com/it/labello/
1595276171-465,https://market.erniani.com/it/marche-cosmetici/,label.m,https://market.erniani.com/it/labelm/
1595276171-464,https://market.erniani.com/it/marche-cosmetici/,Lab Series,https://market.erniani.com/it/lab-series/
1595276171-467,https://market.erniani.com/it/marche-cosmetici/,Lacalut,https://market.erniani.com/it/lacalut/
1595276171-468,https://market.erniani.com/it/marche-cosmetici/,Lacoste,https://market.erniani.com/it/lacoste/
1595276171-469,https://market.erniani.com/it/marche-cosmetici/,Lactacyd,https://market.erniani.com/it/lactacyd/
1595276171-470,https://market.erniani.com/it/marche-cosmetici/,Lactovit,https://market.erniani.com/it/lactovit/
1595276171-471,https://market.erniani.com/it/marche-cosmetici/,Ladival,https://market.erniani.com/it/ladival/
1595276171-472,https://market.erniani.com/it/marche-cosmetici/,Lady Gaga,https://market.erniani.com/it/lady-gaga/
1595276171-473,https://market.erniani.com/it/marche-cosmetici/,Lalique,https://market.erniani.com/it/lalique/
1595276171-460,https://market.erniani.com/it/marche-cosmetici/,La Martina,https://market.erniani.com/it/la-martina/
1595276171-474,https://market.erniani.com/it/marche-cosmetici/,Lancaster,https://market.erniani.com/it/lancaster/
1595276171-475,https://market.erniani.com/it/marche-cosmetici/,Lancôme,https://market.erniani.com/it/lancome/
1595276171-476,https://market.erniani.com/it/marche-cosmetici/,Lanvin,https://market.erniani.com/it/lanvin/
1595276171-477,https://market.erniani.com/it/marche-cosmetici/,Lanza,https://market.erniani.com/it/lanza/
1595276171-461,https://market.erniani.com/it/marche-cosmetici/,La Perla,https://market.erniani.com/it/la-perla/
1595276171-462,https://market.erniani.com/it/marche-cosmetici/,La Riche,https://market.erniani.com/it/la-riche/
1595276171-463,https://market.erniani.com/it/marche-cosmetici/,La Roche-Posay,https://market.erniani.com/it/la-roche-posay/
1595276171-478,https://market.erniani.com/it/marche-cosmetici/,Laura Biagiotti,https://market.erniani.com/it/laura-biagiotti/
1595276171-479,https://market.erniani.com/it/marche-cosmetici/,Lavera,https://market.erniani.com/it/lavera/
1595276171-457,https://market.erniani.com/it/marche-cosmetici/,L’biotica,https://market.erniani.com/it/lbiotica/
1595276171-480,https://market.erniani.com/it/marche-cosmetici/,Le Couvent Maison de Parfum,https://market.erniani.com/it/le-couvent-des-minimes/
1595276171-483,https://market.erniani.com/it/marche-cosmetici/,Lee Stafford,https://market.erniani.com/it/lee-stafford/
1595276171-481,https://market.erniani.com/it/marche-cosmetici/,Le Mini Macaron,https://market.erniani.com/it/le-mini-macaron/
1595276171-484,https://market.erniani.com/it/marche-cosmetici/,Lenor,https://market.erniani.com/it/lenor/
1595276171-482,https://market.erniani.com/it/marche-cosmetici/,Le Petit Olivier,https://market.erniani.com/it/le-petit-olivier/
1595276171-485,https://market.erniani.com/it/marche-cosmetici/,Lierac,https://market.erniani.com/it/lierac/
1595276171-486,https://market.erniani.com/it/marche-cosmetici/,Linteo,https://market.erniani.com/it/linteo/
1595276171-487,https://market.erniani.com/it/marche-cosmetici/,Lip Smacker,https://market.erniani.com/it/lip-smacker/
1595276171-488,https://market.erniani.com/it/marche-cosmetici/,Lirene,https://market.erniani.com/it/lirene/
1595276171-489,https://market.erniani.com/it/marche-cosmetici/,Listerine,https://market.erniani.com/it/listerine/
1595276171-490,https://market.erniani.com/it/marche-cosmetici/,Liu Jo,https://market.erniani.com/it/liu-jo/
1595276171-491,https://market.erniani.com/it/marche-cosmetici/,Living Proof,https://market.erniani.com/it/living-proof/
1595276171-492,https://market.erniani.com/it/marche-cosmetici/,Liz Claiborne,https://market.erniani.com/it/liz-claiborne/
1595276171-493,https://market.erniani.com/it/marche-cosmetici/,LM Parfums,https://market.erniani.com/it/lm-parfums/
1595276171-494,https://market.erniani.com/it/marche-cosmetici/,Lolita Lempicka,https://market.erniani.com/it/lolita-lempicka/
1595276171-495,https://market.erniani.com/it/marche-cosmetici/,Lomani,https://market.erniani.com/it/lomani/
1595276171-496,https://market.erniani.com/it/marche-cosmetici/,Lona,https://market.erniani.com/it/lona/
1595276171-497,https://market.erniani.com/it/marche-cosmetici/,Londa Professional,https://market.erniani.com/it/londa-professional/
1595276171-458,https://market.erniani.com/it/marche-cosmetici/,L’Oréal Paris,https://market.erniani.com/it/loreal-paris/
1595276171-459,https://market.erniani.com/it/marche-cosmetici/,L’Oréal Professionnel,https://market.erniani.com/it/loreal-professionnel/
1595276171-498,https://market.erniani.com/it/marche-cosmetici/,Lorenzo Villoresi,https://market.erniani.com/it/lorenzo-villoresi/
1595276171-456,https://market.erniani.com/it/marche-cosmetici/,L.O.V.,https://market.erniani.com/it/lov/
1595276171-500,https://market.erniani.com/it/marche-cosmetici/,Lovea,https://market.erniani.com/it/lovea/
1595276171-499,https://market.erniani.com/it/marche-cosmetici/,Love Beauty & Planet,https://market.erniani.com/it/love-beauty-planet/
1595276171-501,https://market.erniani.com/it/marche-cosmetici/,Lovela,https://market.erniani.com/it/lovela/
